Displaced,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Target
1,1,1,0,20,0,0,Dropout
1,0,1,0,19,14,13.66666667,Graduate
1,0,1,0,19,0,0,Dropout
1,1,0,0,20,13.42857143,12.4,Graduate
0,1,0,0,45,12.33333333,13,Graduate
0,1,1,0,50,11.85714286,11.5,Graduate
1,1,0,1,18,13.3,14.345,Graduate
1,0,1,0,22,0,0,Dropout
0,1,0,1,21,13.875,14.14285714,Graduate
1,0,0,0,18,11.4,13.5,Dropout
1,1,0,0,18,12.33333333,14.2,Graduate
1,1,0,1,18,13.21428571,13.21428571,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,1,21,10.57142857,11,Graduate
1,1,0,1,18,13.25,12,Graduate
1,1,0,0,20,13.2,0,Dropout
1,1,0,0,18,12,11,Graduate
1,1,0,0,18,13.30625,14.545,Graduate
1,1,0,0,20,12.5,12.25,Graduate
1,1,0,0,18,11.66666667,13.5,Graduate
0,1,0,1,21,0,0,Graduate
1,1,0,0,20,11.4375,11.425,Graduate
1,1,0,0,18,12.85714286,12.85714286,Graduate
1,1,0,1,19,13.375,12.28571429,Graduate
0,1,0,0,19,13.29666667,14.11428571,Graduate
1,1,0,1,18,11.6,11,Graduate
1,1,0,0,21,11.375,13.28571429,Graduate
1,1,0,0,18,12.66666667,13,Graduate
1,1,0,0,20,12,12.33333333,Graduate
1,1,1,0,19,12.93333333,13.71666667,Graduate
0,1,1,0,21,11.85714286,10.57142857,Graduate
1,1,1,0,20,12.83333333,13.4,Graduate
0,0,1,0,18,11.33333333,13.5,Graduate
1,1,0,0,19,12.66666667,14.375,Graduate
0,1,1,0,34,12.4,13.42857143,Graduate
0,0,1,0,37,0,10,Dropout
1,1,1,0,43,0,0,Dropout
0,1,0,0,55,10,12,Dropout
1,1,0,0,39,11,11.6,Graduate
0,0,0,0,20,11.66666667,12,Dropout
